Index  Predicted  Actual     Status    
314    7          7          ✅ correct 
315    8          8          ✅ correct 
316    4          4          ✅ correct 
317    9          9          ✅ correct 
318    8          8          ✅ correct 
319    7          7          ✅ correct 
320    3          3          ✅ correct 
321    0          0          ✅ correct 
322    7          7          ✅ correct 
323    5          5          ✅ correct 
324    5          5          ✅ correct 
325    7          7          ✅ correct 
326    7          7          ✅ correct 
327    5          5          ✅ correct 
328    8          8          ✅ correct 
329    6          6          ✅ correct 
330    3          3          ✅ correct 
331    4          4          ✅ correct 
332    7          7          ✅ correct 
333    2          2          ✅ correct 
334    8          8          ✅ correct 
335    6          6          ✅ correct 
336    5          5          ✅ correct 
337    9          9          ✅ correct 
338    7          7          ✅ correct 
339    7          7          ✅ correct 
340    5          5          ✅ correct 
341    4          4          ✅ correct 
342    0          0          ✅ correct 
343    8          8          ✅ correct 
344    1          1          ✅ correct 
345    9          9          ✅ correct 
346    7          7          ✅ correct 
347    4          4          ✅ correct 
348    3          3          ✅ correct 
349    8          8          ✅ correct 
350    4          4          ✅ correct 
351    2          2          ✅ correct 
352    5          5          ✅ correct 
353    5          5          ✅ correct 
354    2          2          ✅ correct 
355    5          5          ✅ correct 
356    4          4          ✅ correct 
357    1          1          ✅ correct 
358    9          9          ✅ correct 
359    8          8          ✅ correct 
360    3          3          ✅ correct 
361    2          2          ✅ correct 
362    2          2          ✅ correct 
363    1          1          ✅ correct 
364    9          9          ✅ correct 
365    7          7          ✅ correct 
366    7          7          ✅ correct 
367    7          7          ✅ correct 
368    6          6          ✅ correct 
369    0          0          ✅ correct 
370    4          4          ✅ correct 
371    0          0          ✅ correct 
372    1          1          ✅ correct 
373    7          7          ✅ correct 
374    2          2          ✅ correct 
375    8          8          ✅ correct 
376    4          4          ✅ correct 
377    8          8          ✅ correct 
378    8          8          ✅ correct 
379    9          9          ✅ correct 
380    7          7          ✅ correct 
381    1          1          ✅ correct 
382    5          5          ✅ correct 
383    7          7          ✅ correct 
384    1          1          ✅ correct 
385    6          6          ✅ correct 
386    6          6          ✅ correct 
387    0          0          ✅ correct 
388    1          1          ✅ correct 
389    4          4          ✅ correct 
390    0          0          ✅ correct 
391    7          7          ✅ correct 
392    1          1          ✅ correct 
393    9          9          ✅ correct 
394    1          1          ✅ correct 
395    7          7          ✅ correct 
396    6          6          ✅ correct 
397    6          6          ✅ correct 
398    6          6          ✅ correct 
399    7          7          ✅ correct 
400    6          6          ✅ correct 
401    0          0          ✅ correct 
402    1          3          ❌ wrong   
403    5          5          ✅ correct 
404    4          4          ✅ correct 
405    3          3          ✅ correct 
406    9          9          ✅ correct 
407    7          7          ✅ correct 
408    7          7          ✅ correct 
409    3          3          ✅ correct 
410    2          2          ✅ correct 
411    3          5          ❌ wrong   
412    1          1          ✅ correct 
413    7          7          ✅ correct 
414    5          5          ✅ correct 
415    9          9          ✅ correct 
416    0          0          ✅ correct 
417    2          2          ✅ correct 
418    4          4          ✅ correct 
419    9          9          ✅ correct 
420    7          7          ✅ correct 
421    4          4          ✅ correct 
422    8          8          ✅ correct 
423    3          3          ✅ correct 
424    8          8          ✅ correct 
425    9          9          ✅ correct 
426    0          0          ✅ correct 
427    6          6          ✅ correct 
428    5          5          ✅ correct 
429    0          0          ✅ correct 
430    0          0          ✅ correct 
431    5          5          ✅ correct 
432    7          7          ✅ correct 
433    9          9          ✅ correct 
434    8          8          ✅ correct 
435    5          5          ✅ correct 
436    2          2          ✅ correct 
437    8          8          ✅ correct 
438    8          8          ✅ correct 
439    0          0          ✅ correct 
440    5          4          ❌ wrong   
441    3          5          ❌ wrong   
442    3          3          ✅ correct 
443    6          6          ✅ correct 
444    2          2          ✅ correct 
445    7          7          ✅ correct 
446    1          1          ✅ correct 
447    9          9          ✅ correct 
448    7          7          ✅ correct 
449    6          6          ✅ correct 
450    5          5          ✅ correct 
451    8          8          ✅ correct 
452    3          3          ✅ correct 
453    0          0          ✅ correct 
454    1          1          ✅ correct 
455    4          4          ✅ correct 
456    0          0          ✅ correct 
457    6          6          ✅ correct 
458    4          4          ✅ correct 
459    9          9          ✅ correct 
460    0          0          ✅ correct 
461    3          3          ✅ correct 
462    1          3          ❌ wrong   
463    6          6          ✅ correct 
464    2          2          ✅ correct 
465    6          6          ✅ correct 
466    9          9          ✅ correct 
467    0          0          ✅ correct 
468    6          6          ✅ correct 
469    8          8          ✅ correct 
470    2          2          ✅ correct 
471    7          7          ✅ correct 
472    4          4          ✅ correct 
473    5          5          ✅ correct 
474    6          6          ✅ correct 
475    8          8          ✅ correct 
476    4          4          ✅ correct 
477    4          4          ✅ correct 
478    1          1          ✅ correct 
479    3          3          ✅ correct 
480    6          6          ✅ correct 
481    1          1          ✅ correct 
482    7          7          ✅ correct 
483    4          4          ✅ correct 
484    3          3          ✅ correct 
485    4          4          ✅ correct 
486    8          8          ✅ correct 
487    7          7          ✅ correct 
488    3          3          ✅ correct 
489    5          9          ❌ wrong   
490    7          1          ❌ wrong   
491    5          5          ✅ correct 
492    5          5          ✅ correct 
493    6          6          ✅ correct 
494    3          3          ✅ correct 
495    2          2          ✅ correct 
496    3          3          ✅ correct 
497    1          1          ✅ correct 
498    5          5          ✅ correct 
499    6          6          ✅ correct 
500    5          5          ✅ correct 
501    9          9          ✅ correct 
502    3          3          ✅ correct 
503    1          1          ✅ correct 
504    4          4          ✅ correct 
505    6          6          ✅ correct 
506    1          1          ✅ correct 
507    8          8          ✅ correct 
508    9          9          ✅ correct 
509    0          0          ✅ correct 
510    7          7          ✅ correct 
511    1          1          ✅ correct 
512    9          9          ✅ correct 
513    6          6          ✅ correct 
514    8          8          ✅ correct 
515    2          2          ✅ correct 
516    7          7          ✅ correct 
517    0          0          ✅ correct 
518    9          9          ✅ correct 
519    5          5          ✅ correct 
520    0          0          ✅ correct 
521    0          0          ✅ correct 
522    9          9          ✅ correct 
523    4          4          ✅ correct 
524    7          7          ✅ correct 
525    6          6          ✅ correct 
526    0          0          ✅ correct 
527    9          9          ✅ correct 
528    7          7          ✅ correct 
529    6          0          ❌ wrong   
530    7          7          ✅ correct 
531    2          2          ✅ correct 
532    2          2          ✅ correct 
533    5          5          ✅ correct 
534    7          7          ✅ correct 
535    1          1          ✅ correct 
536    5          5          ✅ correct 
537    0          0          ✅ correct 
538    0          0          ✅ correct 
539    9          9          ✅ correct 
540    7          7          ✅ correct 
541    7          7          ✅ correct 
542    5          5          ✅ correct 
543    4          4          ✅ correct 
544    9          9          ✅ correct 
545    6          6          ✅ correct 
546    7          7          ✅ correct 
547    3          3          ✅ correct 
548    0          0          ✅ correct 
549    9          4          ❌ wrong   
550    6          6          ✅ correct 
551    0          0          ✅ correct 
552    4          4          ✅ correct 
553    0          0          ✅ correct 
554    6          6          ✅ correct 
555    9          9          ✅ correct 
556    2          2          ✅ correct 
557    7          7          ✅ correct 
558    0          0          ✅ correct 
559    4          4          ✅ correct 
560    4          4          ✅ correct 
561    6          6          ✅ correct 
562    0          0          ✅ correct 
563    7          7          ✅ correct 
564    9          9          ✅ correct 
565    8          8          ✅ correct 
566    4          4          ✅ correct 
567    4          4          ✅ correct 
568    1          1          ✅ correct 
569    9          9          ✅ correct 
570    3          3          ✅ correct 
571    0          0          ✅ correct 
572    4          4          ✅ correct 
573    2          2          ✅ correct 
574    1          1          ✅ correct 
575    3          3          ✅ correct 
576    3          3          ✅ correct 
577    2          2          ✅ correct 
578    4          4          ✅ correct 
579    5          5          ✅ correct 
580    2          2          ✅ correct 
581    7          7          ✅ correct 
582    9          9          ✅ correct 
583    5          5          ✅ correct 
584    0          0          ✅ correct 
585    4          4          ✅ correct 
586    0          0          ✅ correct 
587    8          8          ✅ correct 
588    2          2          ✅ correct 
589    2          2          ✅ correct 
590    3          3          ✅ correct 
591    9          9          ✅ correct 
592    4          4          ✅ correct 
593    8          8          ✅ correct 
594    9          9          ✅ correct 
595    0          0          ✅ correct 
596    7          7          ✅ correct 
597    5          5          ✅ correct 
598    8          8          ✅ correct 
599    4          4          ✅ correct 
600    0          0          ✅ correct 
601    7          7          ✅ correct 
602    8          8          ✅ correct 
603    5          4          ❌ wrong   
604    2          2          ✅ correct 
605    3          3          ✅ correct 
606    3          3          ✅ correct 
607    9          9          ✅ correct 
608    4          4          ✅ correct 
609    6          6          ✅ correct 
610    6          6          ✅ correct 
611    6          6          ✅ correct 
612    7          7          ✅ correct 
613    8          8          ✅ correct 
614    0          0          ✅ correct 
615    7          7          ✅ correct 
616    2          2          ✅ correct 
617    1          1          ✅ correct 
618    0          0          ✅ correct 
619    9          9          ✅ correct 
620    8          8          ✅ correct 
621    9          9          ✅ correct 
622    8          8          ✅ correct 
623    0          0          ✅ correct 
624    2          2          ✅ correct 
625    6          6          ✅ correct 
626    8          8          ✅ correct 
627    6          6          ✅ correct 
628    1          1          ✅ correct 
629    7          7          ✅ correct 
630    1          1          ✅ correct 
631    0          0          ✅ correct 
632    9          9          ✅ correct 
633    0          0          ✅ correct 
634    2          2          ✅ correct 
635    8          8          ✅ correct 
636    0          0          ✅ correct 
637    2          2          ✅ correct 
638    7          7          ✅ correct 
639    6          6          ✅ correct 
640    8          8          ✅ correct 
641    4          4          ✅ correct 
642    1          1          ✅ correct 
643    3          3          ✅ correct 
644    7          7          ✅ correct 
645    7          7          ✅ correct 
646    4          4          ✅ correct 
647    7          7          ✅ correct 
648    3          3          ✅ correct 
649    7          7          ✅ correct 
650    5          5          ✅ correct 
651    6          6          ✅ correct 
652    0          0          ✅ correct 
653    2          2          ✅ correct 
654    5          5          ✅ correct 
655    5          9          ❌ wrong   
656    4          4          ✅ correct 
657    2          2          ✅ correct 
658    8          8          ✅ correct 
659    7          7          ✅ correct 
660    8          8          ✅ correct 
661    1          1          ✅ correct 
662    6          6          ✅ correct 
663    5          5          ✅ correct 
664    0          0          ✅ correct 
665    0          0          ✅ correct 
666    6          6          ✅ correct 
667    7          7          ✅ correct 
668    6          6          ✅ correct 
669    8          8          ✅ correct 
670    7          7          ✅ correct 
671    2          2          ✅ correct 
672    8          8          ✅ correct 
673    8          8          ✅ correct 
674    6          6          ✅ correct 
675    7          7          ✅ correct 
676    0          0          ✅ correct 
677    2          2          ✅ correct 
678    5          5          ✅ correct 
679    8          8          ✅ correct 
680    1          1          ✅ correct 
681    3          3          ✅ correct 
682    7          7          ✅ correct 
683    7          7          ✅ correct 
684    5          4          ❌ wrong   
685    7          7          ✅ correct 
686    7          7          ✅ correct 
687    7          7          ✅ correct 
688    2          2          ✅ correct 
689    7          7          ✅ correct 
690    3          3          ✅ correct 
691    2          2          ✅ correct 
692    1          1          ✅ correct 
693    7          7          ✅ correct 
694    8          8          ✅ correct 
695    4          4          ✅ correct 
696    1          1          ✅ correct 
697    3          3          ✅ correct 
698    1          1          ✅ correct 
699    3          3          ✅ correct 
700    7          7          ✅ correct 
701    5          5          ✅ correct 
702    1          1          ✅ correct 
703    4          4          ✅ correct 
704    5          5          ✅ correct 
705    0          0          ✅ correct 
706    1          1          ✅ correct 
707    1          1          ✅ correct 
708    5          5          ✅ correct 
709    7          7          ✅ correct 
710    0          0          ✅ correct 
711    5          5          ✅ correct 
712    5          5          ✅ correct 
713    2          2          ✅ correct 
714    5          5          ✅ correct 
715    2          2          ✅ correct 
716    4          4          ✅ correct 
717    9          9          ✅ correct 
718    8          8          ✅ correct 
719    3          3          ✅ correct 
720    9          9          ✅ correct 
721    0          0          ✅ correct 
722    9          9          ✅ correct 
723    4          4          ✅ correct 
724    9          9          ✅ correct 
725    1          1          ✅ correct 
726    0          0          ✅ correct 
727    2          2          ✅ correct 
728    6          6          ✅ correct 
729    5          5          ✅ correct 
730    8          8          ✅ correct 
731    7          7          ✅ correct 
732    2          2          ✅ correct 
733    9          9          ✅ correct 
734    1          1          ✅ correct 
735    1          1          ✅ correct 
736    2          2          ✅ correct 
737    0          0          ✅ correct 
738    7          7          ✅ correct 
739    6          6          ✅ correct 
740    6          6          ✅ correct 
741    4          4          ✅ correct 
742    9          9          ✅ correct 
743    7          7          ✅ correct 
744    0          0          ✅ correct 
745    8          8          ✅ correct 
746    4          4          ✅ correct 
747    5          5          ✅ correct 
748    7          7          ✅ correct 
749    5          5          ✅ correct 
750    6          6          ✅ correct 
751    2          2          ✅ correct 
752    9          9          ✅ correct 
753    6          6          ✅ correct 
754    1          1          ✅ correct 
755    4          4          ✅ correct 
756    3          3          ✅ correct 
757    7          7          ✅ correct 
758    1          1          ✅ correct 
759    4          4          ✅ correct 
760    5          5          ✅ correct 
761    6          6          ✅ correct 
762    7          7          ✅ correct 
763    8          8          ✅ correct 
764    1          1          ✅ correct 
765    8          8          ✅ correct 
766    3          3          ✅ correct 
767    5          5          ✅ correct 
768    5          8          ❌ wrong   
769    3          3          ✅ correct 
770    6          6          ✅ correct 
771    5          5          ✅ correct 
772    0          0          ✅ correct 
773    1          1          ✅ correct 
774    1          1          ✅ correct 
775    2          1          ❌ wrong   
776    6          6          ✅ correct 
777    6          6          ✅ correct 
778    5          5          ✅ correct 
779    5          5          ✅ correct 
780    6          6          ✅ correct 
781    0          0          ✅ correct 
782    8          8          ✅ correct 
783    2          2          ✅ correct 
784    4          4          ✅ correct 
785    7          7          ✅ correct 
786    5          5          ✅ correct 
787    3          3          ✅ correct 
788    0          0          ✅ correct 
789    7          7          ✅ correct 
790    6          6          ✅ correct 
791    6          6          ✅ correct 
792    6          6          ✅ correct 
793    6          6          ✅ correct 
794    8          8          ✅ correct 
795    8          8          ✅ correct 
796    1          1          ✅ correct 
797    2          2          ✅ correct 
798    8          8          ✅ correct 
799    5          5          ✅ correct 
800    9          9          ✅ correct 
801    9          9          ✅ correct 
802    6          6          ✅ correct 
803    8          8          ✅ correct 
804    4          4          ✅ correct 
805    4          4          ✅ correct 
806    4          4          ✅ correct 
807    5          5          ✅ correct 
808    3          3          ✅ correct 
809    5          5          ✅ correct 
810    7          7          ✅ correct 
811    6          6          ✅ correct 
812    5          5          ✅ correct 
813    3          3          ✅ correct 
814    4          4          ✅ correct 
815    5          5          ✅ correct 
816    8          8          ✅ correct 
817    3          3          ✅ correct 
818    9          9          ✅ correct 
819    8          8          ✅ correct 
820    2          2          ✅ correct 
821    5          5          ✅ correct 
822    1          1          ✅ correct 
823    0          0          ✅ correct 
824    9          9          ✅ correct 
825    1          1          ✅ correct 
826    5          5          ✅ correct 
827    2          2          ✅ correct 
828    5          5          ✅ correct 
829    9          9          ✅ correct 
830    7          7          ✅ correct 
831    1          1          ✅ correct 
832    2          2          ✅ correct 
833    1          1          ✅ correct 
834    6          6          ✅ correct 
835    7          7          ✅ correct 
836    0          0          ✅ correct 
837    5          5          ✅ correct 
838    2          2          ✅ correct 
839    6          6          ✅ correct 
840    0          0          ✅ correct 
841    8          8          ✅ correct 
842    7          7          ✅ correct 
843    5          5          ✅ correct 
844    5          5          ✅ correct 
845    7          7          ✅ correct 
846    3          3          ✅ correct 
847    9          9          ✅ correct 
848    9          9          ✅ correct 
849    1          1          ✅ correct 
850    9          9          ✅ correct 
851    2          2          ✅ correct 
852    3          3          ✅ correct 
853    0          0          ✅ correct 
854    5          5          ✅ correct 
855    0          0          ✅ correct 
856    0          0          ✅ correct 
857    7          7          ✅ correct 
858    2          2          ✅ correct 
859    3          3          ✅ correct 
860    1          1          ✅ correct 
861    6          6          ✅ correct 
862    6          6          ✅ correct 
863    6          6          ✅ correct 
864    1          1          ✅ correct 
865    0          0          ✅ correct 
866    7          7          ✅ correct 
867    1          1          ✅ correct 
868    5          5          ✅ correct 
869    4          4          ✅ correct 
870    3          3          ✅ correct 
871    9          9          ✅ correct 
872    3          3          ✅ correct 
873    5          5          ✅ correct 
874    9          9          ✅ correct 
875    4          4          ✅ correct 
876    8          8          ✅ correct 
877    2          2          ✅ correct 
878    2          2          ✅ correct 
879    2          2          ✅ correct 
880    9          9          ✅ correct 
881    5          5          ✅ correct 
882    7          7          ✅ correct 
883    5          5          ✅ correct 
884    5          5          ✅ correct 
885    0          0          ✅ correct 
886    2          2          ✅ correct 
887    9          9          ✅ correct 
888    4          4          ✅ correct 
889    2          2          ✅ correct 
890    8          8          ✅ correct 
891    8          8          ✅ correct 
892    1          7          ❌ wrong   
893    0          0          ✅ correct 
894    8          8          ✅ correct 
895    1          1          ✅ correct 
896    1          1          ✅ correct 
897    3          3          ✅ correct 
898    9          9          ✅ correct 
899    2          2          ✅ correct 
900    0          0          ✅ correct 
901    4          4          ✅ correct 
902    4          4          ✅ correct 
903    3          3          ✅ correct 
904    1          1          ✅ correct 
905    8          8          ✅ correct 
906    5          5          ✅ correct 
907    4          4          ✅ correct 
908    5          5          ✅ correct 
909    2          2          ✅ correct 
910    8          8          ✅ correct 
911    3          3          ✅ correct 
912    8          8          ✅ correct 
913    2          2          ✅ correct 
914    3          3          ✅ correct 
915    1          1          ✅ correct 
916    3          3          ✅ correct 
917    1          1          ✅ correct 
918    0          0          ✅ correct 
919    4          4          ✅ correct 
920    8          8          ✅ correct 
921    8          8          ✅ correct 
922    0          0          ✅ correct 
923    6          6          ✅ correct 
924    0          0          ✅ correct 
925    8          8          ✅ correct 
926    0          0          ✅ correct 
927    3          3          ✅ correct 
928    3          3          ✅ correct 
929    4          4          ✅ correct 
930    4          4          ✅ correct 
931    0          0          ✅ correct 
932    6          6          ✅ correct 
933    2          2          ✅ correct 
934    3          3          ✅ correct 
935    1          1          ✅ correct 
936    3          3          ✅ correct 
937    3          3          ✅ correct 
938    1          1          ✅ correct 
939    2          2          ✅ correct 
940    5          5          ✅ correct 
941    9          9          ✅ correct 
942    1          1          ✅ correct 
943    1          1          ✅ correct 
944    4          4          ✅ correct 
945    2          1          ❌ wrong   
946    8          8          ✅ correct 
947    9          9          ✅ correct 
948    4          4          ✅ correct 
949    1          1          ✅ correct 
950    8          8          ✅ correct 
951    4          4          ✅ correct 
952    1          1          ✅ correct 
953    7          7          ✅ correct 
954    0          0          ✅ correct 
955    3          3          ✅ correct 
956    1          1          ✅ correct 
957    6          6          ✅ correct 
958    5          5          ✅ correct 
959    8          8          ✅ correct 
960    2          2          ✅ correct 
961    4          4          ✅ correct 
962    4          4          ✅ correct 
963    9          9          ✅ correct 
964    6          6          ✅ correct 
965    7          7          ✅ correct 
966    8          8          ✅ correct 
967    2          2          ✅ correct 
968    2          2          ✅ correct 
969    9          9          ✅ correct 
970    2          2          ✅ correct 
971    2          2          ✅ correct 
972    8          8          ✅ correct 
973    2          2          ✅ correct 
974    9          9          ✅ correct 
975    1          1          ✅ correct 
976    7          5          ❌ wrong   
977    8          8          ✅ correct 
978    1          1          ✅ correct 
979    8          8          ✅ correct 
980    8          8          ✅ correct 
981    3          3          ✅ correct 
982    0          0          ✅ correct 
983    6          6          ✅ correct 
984    6          6          ✅ correct 
985    5          5          ✅ correct 
986    0          0          ✅ correct 
987    2          2          ✅ correct 
988    3          3          ✅ correct 
989    6          6          ✅ correct 
990    1          1          ✅ correct 
991    9          9          ✅ correct 
992    0          0          ✅ correct 
993    6          6          ✅ correct 
994    5          5          ✅ correct 
995    5          5          ✅ correct 
